trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0345283	0.00746
0.0045	-0.01	-0.0021	2.4434609527920616e-05	0.00021467549799530252	-0.00015707963267948963	1.17346239	51.1701355	1.058633	0.03640948701013564	0.0326278	0.00386
0.0085	-0.0091	-0.0241	9.42477796076938e-05	0.00013439035240356338	-9.42477796076938e-05	1.12704051	49.14585495	1.04771098	0.03754650843716541	0.0306035	0.00309
-0.023	-0.0512	-0.0016	-0.000153588974175501	0.0002513274122871834	-0.0002513274122871834	1.1439935	49.88510895	1.06088102	0.1221926723173152	0.0299261	0.00315
-0.0405	-0.0293	-0.0081	-7.330382858376184e-05	0.00013788101090755203	-0.00023561944901923448	1.13203871	49.36380768	1.04244042	0.05637197551196598	0.029729	0.00276
-0.0507	-0.0491	0.0056	0.000153588974175501	3.839724354387525e-05	-9.599310885968811e-05	1.18284523	51.57928467	1.01613579	0.06700014551412431	0.0316011	0.00323
-0.0615	-0.0447	-0.0046	-0.00022689280275926284	-8.726646259971648e-05	-0.00028623399732707005	1.1078074	48.30717468	1.00762793	0.06021931857728688	0.0305784	0.00337
-0.0567	-0.0231	-0.0328	-0.00015184364492350666	-0.00015009831567151235	-0.00015009831567151235	1.05079234	45.82096863	0.97528973	0.06830083462815548	0.029253	0.00294
-0.0317	-0.0234	-0.0162	-0.0005323254218582705	0.00024609142453120044	0.0003717551306747922	1.01618803	44.3120079	0.94449527	0.10682624817418906	0.0260472	0.00121
-0.0306	-0.0081	0.0016	-0.0008761552845011534	0.00041189770347066176	0.0002373647782712288	1.032534	45.02479553	0.94357598	0.06640132469929537	0.0258892	0.00117
-0.0121	-0.0035	0.007	-0.0010873401239924673	0.00030368728984701333	0.00034208453339088857	1.0496763	45.77230453	0.95716045	0.049705750411731114	0.0257641	0.00103
-0.0022	0.0088	0.0745	-0.0011536626355682519	0.0006510078109938849	0.0005515240436302081	1.25686157	54.80684662	1.07855333	0.12085412714809876	0.0322958	0.0015
-0.0084	0.1621	0.0938	-0.0010070549784007281	0.0009459684545809266	0.001265363707695889	1.34058547	58.45772171	1.12987874	0.2365703982410123	0.0416334	0.00357
0.0035	0.1267	0.0783	-0.0008569566627292158	0.001282817000215832	0.001556833692778942	1.19320881	52.03119659	1.01197825	0.10172084231947352	0.0381707	0.00176
-0.0077	0.0989	0.0681	-0.0010157816246606998	0.0014329153158873448	0.001556833692778942	1.16942418	50.99404144	0.99331763	0.06464616388014985	0.0350727	0.00139
0.0279	-0.0439	0.0924	-0.0018727382873899156	0.0017174039839624202	0.0018744836166419098	1.23262858	53.75014114	1.07192085	0.275654762733363	0.0294755	0.00111
0.0266	0.1877	0.0617	-0.0005026548245743669	0.0015062191444711063	0.0017139133254584315	1.46855032	64.03777313	1.27161916	0.35069192967451707	0.0446031	0.00719
0.0255	0.1042	0.0665	-0.0008848819307611251	0.0013683381335635543	0.0018709929581379211	1.40400541	61.22322083	1.14038727	0.12325938748869	0.0380179	0.00347
0.0361	0.0826	0.0652	-0.0011309733552923255	0.001356120828799594	0.002087413785385218	1.35303319	59.0005188	1.10178502	0.05723647782712288	0.0325276	0.00121
0.03	0.1069	0.0815	-0.001228711793404008	0.0014224433403753785	0.0019582594207376374	1.14800882	50.06020355	0.98592137	0.06136076571675239	0.0339383	0.00106
0.0282	0.1056	0.0529	-0.0009075712110370514	0.0015219271077390555	0.0019216075064457567	1.05487144	45.99884415	0.97612873	0.0545638132011257	0.0314636	0.00079
0.0311	0.0542	0.0715	-0.0013020156219877698	0.0015027284859671175	0.0021275563581810873	1.06307065	46.35638046	0.98360476	0.10387959422289934	0.0294328	0.00061
0.0499	0.0698	0.0874	-0.0015446163880149814	0.0018657569703819383	0.002309070600388498	1.17757595	51.34951019	1.05620187	0.08965717463247216	0.0311316	0.00078
0.0514	0.0725	0.0765	-0.0013927727430914749	0.0019163715186897737	0.002373647782712288	1.07825291	47.01841736	0.99043103	0.028451768777756608	0.0304283	0.0006
0.0427	0.0495	0.0493	-0.0012304571226560022	0.001891936909161853	0.00233001455141243	1.10729873	48.28499603	0.9866366	0.07041917306316255	0.0270851	0.00037
0.0438	0.0533	0.0553	-0.0012758356832078548	0.0019582594207376374	0.00239459173373622	1.12567723	49.08640671	0.9806255	0.019713912722571336	0.0271563	0.00037
0.0428	0.0392	0.0849	-0.001658062789394613	0.0019408061282176943	0.002494075501099897	1.14492428	49.92569733	1.01323882	0.06965820830351889	0.0278935	0.00054
0.0404	0.0452	0.0361	-0.0011065387457644049	0.0019041542139258136	0.00222529479629277	1.17407298	51.19675827	1.02734428	0.10004783313646076	0.0261556	0.00037
0.0452	0.0109	0.0575	-0.0014416419621473165	0.001853539665617978	0.002143264321449037	1.10777199	48.30563354	0.99709604	0.083887411976724	0.0252975	0.00042
0.0493	0.0206	0.0867	-0.0016947147036864942	0.0019861846887695473	0.0021799162357409173	1.1515168	50.21317291	1.01090405	0.06411848394913136	0.0273758	0.00049
